qid,docid,docno,rank,score,query
23849,2647769,2647769,0,0.994704,are naturalization records public information
23849,8010561,8010561,1,0.987884,are naturalization records public information
23849,8059826,8059826,2,0.894415,are naturalization records public information
23849,6667419,6667419,3,0.87756,are naturalization records public information
23849,7119957,7119957,4,0.844282,are naturalization records public information
23849,4834498,4834498,5,0.374849,are naturalization records public information
23849,8466742,8466742,6,0.336968,are naturalization records public information
23849,2445679,2445679,7,0.327041,are naturalization records public information
23849,2199040,2199040,8,0.294141,are naturalization records public information
23849,892160,892160,9,0.281698,are naturalization records public information
23849,2017213,2017213,10,0.220416,are naturalization records public information
23849,7311198,7311198,11,0.184458,are naturalization records public information
23849,5925321,5925321,12,0.156075,are naturalization records public information
23849,4482145,4482145,13,0.100742,are naturalization records public information
23849,4438759,4438759,14,0.0965589,are naturalization records public information
23849,188246,188246,15,0.0890023,are naturalization records public information
23849,5885925,5885925,16,0.0887135,are naturalization records public information
23849,314300,314300,17,0.0836712,are naturalization records public information
23849,653142,653142,18,0.0547807,are naturalization records public information
23849,1333480,1333480,19,0.0414284,are naturalization records public information
23849,4438766,4438766,20,0.0407405,are naturalization records public information
23849,6440050,6440050,21,0.0264459,are naturalization records public information
23849,2674124,2674124,22,0.022216,are naturalization records public information
23849,799642,799642,23,0.0169044,are naturalization records public information
23849,178252,178252,24,0.0146275,are naturalization records public information
23849,4281697,4281697,25,0.0144338,are naturalization records public information
23849,1381453,1381453,26,0.00717422,are naturalization records public information
23849,7431268,7431268,27,0.00692769,are naturalization records public information
23849,7593919,7593919,28,0.0066235,are naturalization records public information
23849,2132534,2132534,29,0.00498855,are naturalization records public information
23849,8752783,8752783,30,0.00472754,are naturalization records public information
23849,3829885,3829885,31,0.00379763,are naturalization records public information
23849,807344,807344,32,0.00376123,are naturalization records public information
23849,2132735,2132735,33,0.0037517,are naturalization records public information
23849,436721,436721,34,0.0036802,are naturalization records public information
23849,8466744,8466744,35,0.00348841,are naturalization records public information
23849,542113,542113,36,0.00344285,are naturalization records public information
23849,7160298,7160298,37,0.00339951,are naturalization records public information
23849,8246990,8246990,38,0.0021961,are naturalization records public information
23849,240415,240415,39,0.00132662,are naturalization records public information
23849,1304846,1304846,40,0.000880864,are naturalization records public information
23849,2540071,2540071,41,0.000328006,are naturalization records public information
23849,8668783,8668783,42,0.000312352,are naturalization records public information
23849,3181500,3181500,43,0.000275782,are naturalization records public information
23849,6801395,6801395,44,0.000256212,are naturalization records public information
23849,6791412,6791412,45,0.000200242,are naturalization records public information
23849,915376,915376,46,0.000169117,are naturalization records public information
23849,4844981,4844981,47,0.000167731,are naturalization records public information
