qid,docno,docid,score,rank,query
1030303,1038342,1038342,3.0,0,who is aziz hashim
1030303,5256170,5256170,3.0,1,who is aziz hashim
1030303,5391149,5391149,3.0,2,who is aziz hashim
1030303,5681381,5681381,3.0,3,who is aziz hashim
1030303,5681383,5681383,3.0,4,who is aziz hashim
1030303,5730133,5730133,3.0,5,who is aziz hashim
1030303,5824363,5824363,3.0,6,who is aziz hashim
1030303,6054027,6054027,3.0,7,who is aziz hashim
1030303,6054030,6054030,3.0,8,who is aziz hashim
1030303,6054033,6054033,3.0,9,who is aziz hashim
1030303,6064094,6064094,3.0,10,who is aziz hashim
1030303,6101360,6101360,3.0,11,who is aziz hashim
1030303,6222298,6222298,3.0,12,who is aziz hashim
1030303,6271629,6271629,3.0,13,who is aziz hashim
1030303,6648855,6648855,3.0,14,who is aziz hashim
1030303,6660713,6660713,3.0,15,who is aziz hashim
1030303,6696177,6696177,3.0,16,who is aziz hashim
1030303,6764572,6764572,3.0,17,who is aziz hashim
1030303,6838359,6838359,3.0,18,who is aziz hashim
1030303,5285789,5285789,3.0,19,who is aziz hashim
1030303,5156631,5156631,3.0,20,who is aziz hashim
1030303,6939423,6939423,3.0,21,who is aziz hashim
1030303,5118187,5118187,3.0,22,who is aziz hashim
1030303,4108867,4108867,3.0,23,who is aziz hashim
1030303,1042969,1042969,3.0,24,who is aziz hashim
1030303,4154174,4154174,3.0,25,who is aziz hashim
1030303,4179453,4179453,3.0,26,who is aziz hashim
1030303,4332523,4332523,3.0,27,who is aziz hashim
1030303,4358004,4358004,3.0,28,who is aziz hashim
1030303,4488397,4488397,3.0,29,who is aziz hashim
1030303,4567726,4567726,3.0,30,who is aziz hashim
1030303,464566,464566,3.0,31,who is aziz hashim
1030303,4647608,4647608,3.0,32,who is aziz hashim
1030303,4691526,4691526,3.0,33,who is aziz hashim
1030303,4760232,4760232,3.0,34,who is aziz hashim
1030303,4814578,4814578,3.0,35,who is aziz hashim
1030303,4882562,4882562,3.0,36,who is aziz hashim
1030303,4930087,4930087,3.0,37,who is aziz hashim
1030303,5033585,5033585,3.0,38,who is aziz hashim
1030303,5048082,5048082,3.0,39,who is aziz hashim
1030303,6871012,6871012,3.0,40,who is aziz hashim
1030303,6939425,6939425,3.0,41,who is aziz hashim
1030303,4074042,4074042,3.0,42,who is aziz hashim
1030303,7508058,7508058,3.0,43,who is aziz hashim
1030303,7616223,7616223,3.0,44,who is aziz hashim
1030303,785139,785139,3.0,45,who is aziz hashim
1030303,7938398,7938398,3.0,46,who is aziz hashim
1030303,7970461,7970461,3.0,47,who is aziz hashim
1030303,8126314,8126314,3.0,48,who is aziz hashim
1030303,8188109,8188109,3.0,49,who is aziz hashim
1030303,821997,821997,3.0,50,who is aziz hashim
1030303,8307437,8307437,3.0,51,who is aziz hashim
1030303,8441139,8441139,3.0,52,who is aziz hashim
1030303,8491645,8491645,3.0,53,who is aziz hashim
1030303,8599846,8599846,3.0,54,who is aziz hashim
1030303,8709744,8709744,3.0,55,who is aziz hashim
1030303,8726429,8726429,3.0,56,who is aziz hashim
1030303,8726432,8726432,3.0,57,who is aziz hashim
1030303,8726433,8726433,3.0,58,who is aziz hashim
1030303,8726438,8726438,3.0,59,who is aziz hashim
1030303,8749987,8749987,3.0,60,who is aziz hashim
1030303,7616221,7616221,3.0,61,who is aziz hashim
1030303,7409521,7409521,3.0,62,who is aziz hashim
1030303,6939426,6939426,3.0,63,who is aziz hashim
1030303,7351866,7351866,3.0,64,who is aziz hashim
1030303,6939427,6939427,3.0,65,who is aziz hashim
1030303,6939428,6939428,3.0,66,who is aziz hashim
1030303,6939430,6939430,3.0,67,who is aziz hashim
1030303,6989780,6989780,3.0,68,who is aziz hashim
1030303,7016550,7016550,3.0,69,who is aziz hashim
1030303,7016553,7016553,3.0,70,who is aziz hashim
1030303,7016554,7016554,3.0,71,who is aziz hashim
1030303,7016557,7016557,3.0,72,who is aziz hashim
1030303,7124403,7124403,3.0,73,who is aziz hashim
1030303,7168318,7168318,3.0,74,who is aziz hashim
1030303,7168320,7168320,3.0,75,who is aziz hashim
1030303,7168323,7168323,3.0,76,who is aziz hashim
1030303,7168325,7168325,3.0,77,who is aziz hashim
1030303,7224448,7224448,3.0,78,who is aziz hashim
