qid,docid,docno,rank,score,query
1030303,8726436,8726436,0,54.354218187893565,who is aziz hashim
1030303,8726433,8726433,1,44.220279732703844,who is aziz hashim
1030303,8726435,8726435,2,40.514965745698625,who is aziz hashim
1030303,8726429,8726429,3,39.68709231873612,who is aziz hashim
1030303,8726437,8726437,4,35.84726245432246,who is aziz hashim
1030303,7156982,7156982,5,33.98924636650517,who is aziz hashim
1030303,8726430,8726430,6,33.98924636650517,who is aziz hashim
1030303,8726434,8726434,7,33.13064154189701,who is aziz hashim
1030303,1305520,1305520,8,29.566144290579913,who is aziz hashim
1030303,309441,309441,9,28.67907687342671,who is aziz hashim
1030303,1305521,1305521,10,28.46221318844922,who is aziz hashim
1030303,3302257,3302257,11,28.394047097999785,who is aziz hashim
1030303,7284047,7284047,12,27.959802723801705,who is aziz hashim
1030303,336399,336399,13,27.132074692327144,who is aziz hashim
1030303,1305528,1305528,14,26.91927707667688,who is aziz hashim
1030303,6939427,6939427,15,26.914812527526884,who is aziz hashim
1030303,6222298,6222298,16,26.73976980417897,who is aziz hashim
1030303,3302255,3302255,17,25.615989512475316,who is aziz hashim
1030303,5824363,5824363,18,25.615989512475316,who is aziz hashim
1030303,7284053,7284053,19,24.994855168040125,who is aziz hashim
1030303,7168318,7168318,20,24.643476565318213,who is aziz hashim
1030303,8726432,8726432,21,24.596598420165655,who is aziz hashim
1030303,5285789,5285789,22,24.402921613385438,who is aziz hashim
1030303,3738183,3738183,23,24.39817089130773,who is aziz hashim
1030303,7970461,7970461,24,24.39817089130773,who is aziz hashim
1030303,1905988,1905988,25,24.388955537260056,who is aziz hashim
1030303,6764572,6764572,26,24.388955537260056,who is aziz hashim
1030303,6939425,6939425,27,24.384226549109613,who is aziz hashim
1030303,8230659,8230659,28,24.384226549109613,who is aziz hashim
1030303,6939426,6939426,29,24.1441513098881,who is aziz hashim
1030303,2488127,2488127,30,23.92192446647217,who is aziz hashim
1030303,6271629,6271629,31,23.79588112348014,who is aziz hashim
1030303,7168325,7168325,32,23.758535582245635,who is aziz hashim
1030303,3302249,3302249,33,23.621126710053506,who is aziz hashim
1030303,705402,705402,34,23.483980395445435,who is aziz hashim
1030303,6939424,6939424,35,23.024792962636127,who is aziz hashim
1030303,3302258,3302258,36,23.023113207031457,who is aziz hashim
