qid,query,docno,docid,score,rank
1030303,who is aziz hashim,8726437,8726437,0.88574195,0
1030303,who is aziz hashim,8726435,8726435,0.86555916,1
1030303,who is aziz hashim,8726436,8726436,0.85471827,2
1030303,who is aziz hashim,8726433,8726433,0.84947926,3
1030303,who is aziz hashim,5681381,5681381,0.8353677,4
1030303,who is aziz hashim,8726430,8726430,0.83437765,5
1030303,who is aziz hashim,7156982,7156982,0.82829964,6
1030303,who is aziz hashim,5681383,5681383,0.8277558,7
1030303,who is aziz hashim,8726432,8726432,0.8272152,8
1030303,who is aziz hashim,5681385,5681385,0.8244268,9
1030303,who is aziz hashim,7284047,7284047,0.81698394,10
1030303,who is aziz hashim,226464,226464,0.81370187,11
1030303,who is aziz hashim,4691526,4691526,0.8118595,12
1030303,who is aziz hashim,4179453,4179453,0.8111212,13
1030303,who is aziz hashim,7284052,7284052,0.8107722,14
1030303,who is aziz hashim,3302249,3302249,0.810681,15
1030303,who is aziz hashim,7284048,7284048,0.8106538,16
1030303,who is aziz hashim,1451848,1451848,0.8102344,17
1030303,who is aziz hashim,1305520,1305520,0.8100858,18
1030303,who is aziz hashim,7707564,7707564,0.80953205,19
1030303,who is aziz hashim,3302252,3302252,0.8092988,20
1030303,who is aziz hashim,3302253,3302253,0.8078422,21
1030303,who is aziz hashim,3620981,3620981,0.80538845,22
1030303,who is aziz hashim,2493940,2493940,0.80339956,23
1030303,who is aziz hashim,17757,17757,0.8025173,24
1030303,who is aziz hashim,1451845,1451845,0.80169654,25
1030303,who is aziz hashim,3302256,3302256,0.8016926,26
1030303,who is aziz hashim,3302254,3302254,0.8011321,27
1030303,who is aziz hashim,6054033,6054033,0.8007166,28
1030303,who is aziz hashim,6939425,6939425,0.8003329,29
1030303,who is aziz hashim,6271629,6271629,0.7998102,30
1030303,who is aziz hashim,1451846,1451846,0.7997315,31
1030303,who is aziz hashim,6939430,6939430,0.7994888,32
1030303,who is aziz hashim,6939424,6939424,0.79943293,33
1030303,who is aziz hashim,6939423,6939423,0.7993609,34
1030303,who is aziz hashim,3302250,3302250,0.7990891,35
1030303,who is aziz hashim,6939431,6939431,0.7990561,36
1030303,who is aziz hashim,6764572,6764572,0.7987423,37
1030303,who is aziz hashim,5110204,5110204,0.79837954,38
1030303,who is aziz hashim,7168320,7168320,0.79808545,39
1030303,who is aziz hashim,5824363,5824363,0.7980401,40
1030303,who is aziz hashim,3719869,3719869,0.7977909,41
1030303,who is aziz hashim,3302258,3302258,0.7968496,42
1030303,who is aziz hashim,2930442,2930442,0.79652816,43
1030303,who is aziz hashim,3302255,3302255,0.79623914,44
1030303,who is aziz hashim,8510805,8510805,0.79620886,45
1030303,who is aziz hashim,1905988,1905988,0.7950423,46
1030303,who is aziz hashim,6939427,6939427,0.79472935,47
1030303,who is aziz hashim,6054030,6054030,0.79423976,48
1030303,who is aziz hashim,8222862,8222862,0.7938787,49
1030303,who is aziz hashim,17759,17759,0.79386985,50
1030303,who is aziz hashim,7901487,7901487,0.79345673,51
1030303,who is aziz hashim,2998879,2998879,0.7933722,52
1030303,who is aziz hashim,7707569,7707569,0.792805,53
1030303,who is aziz hashim,5681379,5681379,0.7927524,54
1030303,who is aziz hashim,5589001,5589001,0.79262674,55
1030303,who is aziz hashim,8726429,8726429,0.7925581,56
1030303,who is aziz hashim,6939426,6939426,0.7922634,57
1030303,who is aziz hashim,4542061,4542061,0.7911291,58
1030303,who is aziz hashim,2637890,2637890,0.79107547,59
1030303,who is aziz hashim,7722250,7722250,0.7909912,60
1030303,who is aziz hashim,3084851,3084851,0.7909562,61
1030303,who is aziz hashim,8155164,8155164,0.7907157,62
1030303,who is aziz hashim,1269099,1269099,0.79044807,63
1030303,who is aziz hashim,1303656,1303656,0.79032993,64
1030303,who is aziz hashim,2329913,2329913,0.7903273,65
1030303,who is aziz hashim,7168325,7168325,0.78988206,66
1030303,who is aziz hashim,4542064,4542064,0.7892723,67
1030303,who is aziz hashim,1451844,1451844,0.7892672,68
1030303,who is aziz hashim,6054032,6054032,0.7890787,69
1030303,who is aziz hashim,8625991,8625991,0.7888503,70
1030303,who is aziz hashim,3084848,3084848,0.7888483,71
1030303,who is aziz hashim,6887500,6887500,0.78874314,72
1030303,who is aziz hashim,8805511,8805511,0.7885436,73
1030303,who is aziz hashim,7400587,7400587,0.7884671,74
1030303,who is aziz hashim,824548,824548,0.7880501,75
1030303,who is aziz hashim,7892751,7892751,0.7879183,76
1030303,who is aziz hashim,3702406,3702406,0.78783584,77
1030303,who is aziz hashim,5120735,5120735,0.7877422,78
1030303,who is aziz hashim,2304562,2304562,0.78765357,79
1030303,who is aziz hashim,7284050,7284050,0.7876043,80
1030303,who is aziz hashim,7168324,7168324,0.7874361,81
1030303,who is aziz hashim,2047616,2047616,0.7873794,82
1030303,who is aziz hashim,17758,17758,0.78735423,83
1030303,who is aziz hashim,1172901,1172901,0.78716993,84
1030303,who is aziz hashim,7415982,7415982,0.7870881,85
1030303,who is aziz hashim,8510803,8510803,0.78707635,86
1030303,who is aziz hashim,5100244,5100244,0.78703153,87
1030303,who is aziz hashim,8836216,8836216,0.7868538,88
1030303,who is aziz hashim,8221695,8221695,0.786438,89
1030303,who is aziz hashim,7989095,7989095,0.7862934,90
1030303,who is aziz hashim,8805504,8805504,0.7862447,91
1030303,who is aziz hashim,3424739,3424739,0.7859783,92
1030303,who is aziz hashim,2542593,2542593,0.78584504,93
1030303,who is aziz hashim,5221595,5221595,0.7857603,94
1030303,who is aziz hashim,3620977,3620977,0.78566754,95
1030303,who is aziz hashim,3143401,3143401,0.7856657,96
1030303,who is aziz hashim,5681387,5681387,0.7855379,97
1030303,who is aziz hashim,979606,979606,0.7854675,98
1030303,who is aziz hashim,4110846,4110846,0.7854465,99
1030303,who is aziz hashim,8222039,8222039,0.7853378,100
1030303,who is aziz hashim,3768401,3768401,0.7852026,101
1030303,who is aziz hashim,2615250,2615250,0.7851474,102
1030303,who is aziz hashim,2924145,2924145,0.78507745,103
1030303,who is aziz hashim,748108,748108,0.7850617,104
1030303,who is aziz hashim,5741452,5741452,0.7850436,105
1030303,who is aziz hashim,4679432,4679432,0.78502667,106
1030303,who is aziz hashim,4911522,4911522,0.78481543,107
1030303,who is aziz hashim,8754479,8754479,0.78466433,108
1030303,who is aziz hashim,3423845,3423845,0.7845682,109
1030303,who is aziz hashim,2389565,2389565,0.7844975,110
1030303,who is aziz hashim,2185359,2185359,0.7842522,111
1030303,who is aziz hashim,1739626,1739626,0.7842152,112
1030303,who is aziz hashim,4635902,4635902,0.78417134,113
1030303,who is aziz hashim,7168316,7168316,0.7840787,114
1030303,who is aziz hashim,2699093,2699093,0.7840484,115
1030303,who is aziz hashim,2542596,2542596,0.7839236,116
1030303,who is aziz hashim,2678110,2678110,0.78379524,117
1030303,who is aziz hashim,2542592,2542592,0.7836654,118
1030303,who is aziz hashim,2523962,2523962,0.78355616,119
1037496,who is rep scalise,2725825,2725825,0.8886156,0
1037496,who is rep scalise,3725934,3725934,0.8882886,1
1037496,who is rep scalise,4187307,4187307,0.8880844,2
1037496,who is rep scalise,4760912,4760912,0.8818368,3
1037496,who is rep scalise,7766583,7766583,0.8806639,4
1037496,who is rep scalise,4760915,4760915,0.8790272,5
1037496,who is rep scalise,4912162,4912162,0.8768904,6
1037496,who is rep scalise,4187309,4187309,0.87417793,7
1037496,who is rep scalise,4187303,4187303,0.8732676,8
1037496,who is rep scalise,4912160,4912160,0.8718419,9
1037496,who is rep scalise,4760908,4760908,0.8706931,10
1037496,who is rep scalise,4912167,4912167,0.8698617,11
1037496,who is rep scalise,3725937,3725937,0.8687225,12
1037496,who is rep scalise,7766584,7766584,0.86869085,13
1037496,who is rep scalise,4187305,4187305,0.8672956,14
1037496,who is rep scalise,4174377,4174377,0.8657352,15
1037496,who is rep scalise,7766585,7766585,0.8642286,16
1037496,who is rep scalise,7766587,7766587,0.8625846,17
1037496,who is rep scalise,4174374,4174374,0.86023545,18
1037496,who is rep scalise,4760914,4760914,0.8579012,19
1037496,who is rep scalise,4912163,4912163,0.8559623,20
1037496,who is rep scalise,4760907,4760907,0.85307896,21
1037496,who is rep scalise,4760909,4760909,0.85163856,22
1037496,who is rep scalise,4760906,4760906,0.8502036,23
1037496,who is rep scalise,2672141,2672141,0.84972596,24
1037496,who is rep scalise,7287404,7287404,0.84938955,25
1037496,who is rep scalise,6866284,6866284,0.84844756,26
1037496,who is rep scalise,3725939,3725939,0.84577596,27
1037496,who is rep scalise,8413924,8413924,0.844427,28
1037496,who is rep scalise,4436444,4436444,0.84112585,29
1037496,who is rep scalise,3725933,3725933,0.8395643,30
1037496,who is rep scalise,458638,458638,0.8395057,31
1037496,who is rep scalise,4174376,4174376,0.8390811,32
1037496,who is rep scalise,3725936,3725936,0.83850574,33
1037496,who is rep scalise,4174378,4174378,0.8383053,34
1037496,who is rep scalise,8196479,8196479,0.83766145,35
1037496,who is rep scalise,3725931,3725931,0.8366183,36
1037496,who is rep scalise,2725828,2725828,0.8350886,37
1037496,who is rep scalise,8159564,8159564,0.8349471,38
1037496,who is rep scalise,4905511,4905511,0.8328556,39
1037496,who is rep scalise,4187304,4187304,0.8326575,40
1037496,who is rep scalise,3725938,3725938,0.8308137,41
1037496,who is rep scalise,3725935,3725935,0.8305375,42
1037496,who is rep scalise,3725940,3725940,0.8294148,43
1037496,who is rep scalise,2725829,2725829,0.8290181,44
1037496,who is rep scalise,5927420,5927420,0.8269192,45
1037496,who is rep scalise,3852733,3852733,0.826856,46
1037496,who is rep scalise,4174380,4174380,0.82682216,47
1037496,who is rep scalise,5236201,5236201,0.82668966,48
1037496,who is rep scalise,2725834,2725834,0.8258883,49
1037496,who is rep scalise,2283843,2283843,0.8235575,50
1037496,who is rep scalise,2283842,2283842,0.8222224,51
1037496,who is rep scalise,2867889,2867889,0.8220086,52
1037496,who is rep scalise,3504612,3504612,0.82175094,53
1037496,who is rep scalise,7090990,7090990,0.82097584,54
1037496,who is rep scalise,3725932,3725932,0.82095087,55
1037496,who is rep scalise,5358855,5358855,0.82092977,56
1037496,who is rep scalise,8413922,8413922,0.82090884,57
1037496,who is rep scalise,7303412,7303412,0.8207197,58
1037496,who is rep scalise,7945330,7945330,0.8199787,59
1037496,who is rep scalise,5127475,5127475,0.8195975,60
1037496,who is rep scalise,3921682,3921682,0.8189818,61
1037496,who is rep scalise,57410,57410,0.81858283,62
1037496,who is rep scalise,5127476,5127476,0.81856287,63
1037496,who is rep scalise,2902707,2902707,0.8179412,64
1037496,who is rep scalise,4608689,4608689,0.81789863,65
1037496,who is rep scalise,2257716,2257716,0.81743836,66
1037496,who is rep scalise,2871530,2871530,0.8173851,67
1037496,who is rep scalise,7945332,7945332,0.81712544,68
1037496,who is rep scalise,5127479,5127479,0.8170334,69
1037496,who is rep scalise,4703649,4703649,0.8167726,70
1037496,who is rep scalise,5127477,5127477,0.81668985,71
1037496,who is rep scalise,6974080,6974080,0.81559825,72
1037496,who is rep scalise,3428757,3428757,0.815526,73
1037496,who is rep scalise,1903293,1903293,0.81526905,74
1037496,who is rep scalise,985986,985986,0.81506634,75
1037496,who is rep scalise,6226396,6226396,0.8148831,76
1037496,who is rep scalise,4905509,4905509,0.8147894,77
1037496,who is rep scalise,4703655,4703655,0.8145256,78
1037496,who is rep scalise,5162276,5162276,0.8144311,79
1037496,who is rep scalise,5963002,5963002,0.81435525,80
1037496,who is rep scalise,1888448,1888448,0.81426287,81
1037496,who is rep scalise,4967162,4967162,0.8135429,82
1037496,who is rep scalise,1026378,1026378,0.8133559,83
1037496,who is rep scalise,7764548,7764548,0.8128619,84
