qid,docid,docno,rank,score,query
1030303,8726437,8726437,0,27.31544303894043,who is aziz hashim
1030303,8726435,8726435,1,25.659500122070312,who is aziz hashim
1030303,8726430,8726430,2,24.94104766845703,who is aziz hashim
1030303,7156982,7156982,3,24.37186813354492,who is aziz hashim
1030303,8726436,8726436,4,23.57361602783203,who is aziz hashim
1030303,8726432,8726432,5,22.66415786743164,who is aziz hashim
1030303,7616223,7616223,6,22.552772521972656,who is aziz hashim
1030303,8726434,8726434,7,22.24203491210937,who is aziz hashim
1030303,7284047,7284047,8,21.94175338745117,who is aziz hashim
1030303,4760233,4760233,9,21.772594451904297,who is aziz hashim
1030303,7284048,7284048,10,21.76602935791016,who is aziz hashim
1030303,4691526,4691526,11,21.721057891845703,who is aziz hashim
1030303,3302253,3302253,12,21.67721366882324,who is aziz hashim
1030303,7168320,7168320,13,21.562013626098636,who is aziz hashim
1030303,979606,979606,14,21.40552520751953,who is aziz hashim
1030303,4572188,4572188,15,21.34109115600586,who is aziz hashim
1030303,5120735,5120735,16,21.309724807739254,who is aziz hashim
1030303,8726433,8726433,17,21.176591873168945,who is aziz hashim
1030303,2637890,2637890,18,20.767749786376957,who is aziz hashim
1030303,5972645,5972645,19,20.71166229248047,who is aziz hashim
1030303,4433364,4433364,20,20.677032470703125,who is aziz hashim
1030303,3719869,3719869,21,20.59541320800781,who is aziz hashim
1030303,8726429,8726429,22,20.55042839050293,who is aziz hashim
1030303,5391149,5391149,23,20.5139274597168,who is aziz hashim
1030303,6222298,6222298,24,20.39642333984375,who is aziz hashim
1030303,6054030,6054030,25,20.30326461791992,who is aziz hashim
1030303,3156322,3156322,26,20.23352813720703,who is aziz hashim
1030303,6054033,6054033,27,20.046232223510746,who is aziz hashim
1030303,3185530,3185530,28,20.038822174072266,who is aziz hashim
1030303,2597067,2597067,29,19.98960876464844,who is aziz hashim
1030303,6034120,6034120,30,19.98760986328125,who is aziz hashim
1030303,1292822,1292822,31,19.9826774597168,who is aziz hashim
1030303,7847436,7847436,32,19.944032669067383,who is aziz hashim
1030303,4882562,4882562,33,19.924785614013672,who is aziz hashim
1030303,5285789,5285789,34,19.863880157470703,who is aziz hashim
1030303,6271629,6271629,35,19.856201171875,who is aziz hashim
1030303,1305520,1305520,36,19.80946350097656,who is aziz hashim
1030303,5972638,5972638,37,19.768163681030277,who is aziz hashim
1030303,1292819,1292819,38,19.75853729248047,who is aziz hashim
1030303,7284053,7284053,39,19.738285064697266,who is aziz hashim
1030303,1883821,1883821,40,19.68916893005371,who is aziz hashim
1030303,947019,947019,41,19.63273811340332,who is aziz hashim
1030303,5681381,5681381,42,19.48355865478516,who is aziz hashim
1030303,4110846,4110846,43,19.482421875,who is aziz hashim
1030303,8617392,8617392,44,19.465913772583008,who is aziz hashim
1030303,4236749,4236749,45,19.4314079284668,who is aziz hashim
1030303,8788021,8788021,46,19.400360107421875,who is aziz hashim
1030303,4760232,4760232,47,19.392066955566406,who is aziz hashim
1030303,226464,226464,48,19.34286117553711,who is aziz hashim
1030303,5681383,5681383,49,19.33724975585937,who is aziz hashim
1030303,4966555,4966555,50,19.326282501220703,who is aziz hashim
1030303,5972641,5972641,51,19.314069747924805,who is aziz hashim
1030303,3302258,3302258,52,19.243066787719727,who is aziz hashim
1030303,8335079,8335079,53,19.232074737548828,who is aziz hashim
1030303,5156631,5156631,54,19.198972702026367,who is aziz hashim
1030303,7616221,7616221,55,19.19498443603516,who is aziz hashim
1030303,7190875,7190875,56,19.174484252929688,who is aziz hashim
1030303,5681385,5681385,57,19.15729331970215,who is aziz hashim
1030303,8754475,8754475,58,19.14235496520996,who is aziz hashim
1030303,2597066,2597066,59,19.13154602050781,who is aziz hashim
1030303,3272903,3272903,60,19.10036277770996,who is aziz hashim
1030303,5086539,5086539,61,19.098052978515625,who is aziz hashim
1030303,2782702,2782702,62,19.06594657897949,who is aziz hashim
1030303,1451848,1451848,63,19.04280662536621,who is aziz hashim
1030303,3620981,3620981,64,18.918048858642575,who is aziz hashim
1030303,2924149,2924149,65,18.911808013916016,who is aziz hashim
1030303,1451846,1451846,66,18.911399841308597,who is aziz hashim
1030303,8006086,8006086,67,18.91026306152344,who is aziz hashim
1030303,1044077,1044077,68,18.890417098999023,who is aziz hashim
1030303,7892751,7892751,69,18.871017456054688,who is aziz hashim
1030303,2924145,2924145,70,18.811946868896484,who is aziz hashim
1030303,2409068,2409068,71,18.803380966186523,who is aziz hashim
1030303,7400586,7400586,72,18.78706741333008,who is aziz hashim
1030303,3156321,3156321,73,18.781871795654297,who is aziz hashim
1030303,1615360,1615360,74,18.7640380859375,who is aziz hashim
1030303,2505168,2505168,75,18.76167297363281,who is aziz hashim
1030303,4130105,4130105,76,18.74909782409668,who is aziz hashim
1030303,3265597,3265597,77,18.743106842041016,who is aziz hashim
1030303,2597061,2597061,78,18.73024177551269,who is aziz hashim
1030303,3265598,3265598,79,18.699790954589844,who is aziz hashim
1030303,3418519,3418519,80,18.680118560791016,who is aziz hashim
1030303,8625991,8625991,81,18.670562744140625,who is aziz hashim
1030303,4228603,4228603,82,18.660106658935547,who is aziz hashim
1030303,8782598,8782598,83,18.65587615966797,who is aziz hashim
1030303,4581282,4581282,84,18.634620666503903,who is aziz hashim
1030303,6101360,6101360,85,18.62308120727539,who is aziz hashim
1030303,78728,78728,86,18.61798477172852,who is aziz hashim
1030303,7190874,7190874,87,18.60145378112793,who is aziz hashim
1030303,3853795,3853795,88,18.59782600402832,who is aziz hashim
1030303,6580146,6580146,89,18.587068557739254,who is aziz hashim
1030303,8231430,8231430,90,18.54874610900879,who is aziz hashim
1030303,3620977,3620977,91,18.5484561920166,who is aziz hashim
1030303,6939426,6939426,92,18.540802001953125,who is aziz hashim
1030303,6101361,6101361,93,18.535436630249023,who is aziz hashim
1030303,5450714,5450714,94,18.49063873291016,who is aziz hashim
1030303,824548,824548,95,18.473861694335938,who is aziz hashim
1030303,7508058,7508058,96,18.464187622070312,who is aziz hashim
1030303,4201619,4201619,97,18.451156616210938,who is aziz hashim
1030303,6580142,6580142,98,18.450164794921875,who is aziz hashim
1030303,1451847,1451847,99,18.43682098388672,who is aziz hashim
1037496,4760912,4760912,0,23.380319595336918,who is rep scalise
1037496,3725934,3725934,1,23.2811279296875,who is rep scalise
1037496,7766583,7766583,2,23.23237419128418,who is rep scalise
1037496,4187307,4187307,3,22.014583587646484,who is rep scalise
1037496,4912167,4912167,4,21.62790298461914,who is rep scalise
1037496,2725825,2725825,5,21.491100311279297,who is rep scalise
1037496,4912163,4912163,6,21.446762084960938,who is rep scalise
1037496,4912160,4912160,7,21.235095977783203,who is rep scalise
1037496,4912162,4912162,8,21.22801780700684,who is rep scalise
1037496,4760915,4760915,9,21.06121253967285,who is rep scalise
