qid,docno,docid,score,rank,query
1030303,7156982,7156982,3.0,0,who is aziz hashim
1030303,8726437,8726437,3.0,1,who is aziz hashim
1030303,8726436,8726436,3.0,2,who is aziz hashim
1030303,8726435,8726435,3.0,3,who is aziz hashim
1030303,8726434,8726434,2.0,4,who is aziz hashim
1030303,8726430,8726430,2.0,5,who is aziz hashim
1030303,1038342,1038342,0.0,6,who is aziz hashim
1030303,5730133,5730133,0.0,7,who is aziz hashim
1030303,5824363,5824363,0.0,8,who is aziz hashim
1030303,6054027,6054027,0.0,9,who is aziz hashim
1030303,6054030,6054030,0.0,10,who is aziz hashim
1030303,6054033,6054033,0.0,11,who is aziz hashim
1030303,6064094,6064094,0.0,12,who is aziz hashim
1030303,6101360,6101360,0.0,13,who is aziz hashim
1030303,6222298,6222298,0.0,14,who is aziz hashim
1030303,6660713,6660713,0.0,15,who is aziz hashim
1030303,6271629,6271629,0.0,16,who is aziz hashim
1030303,6648855,6648855,0.0,17,who is aziz hashim
1030303,5681381,5681381,0.0,18,who is aziz hashim
1030303,6696177,6696177,0.0,19,who is aziz hashim
1030303,6764572,6764572,0.0,20,who is aziz hashim
1030303,6838359,6838359,0.0,21,who is aziz hashim
1030303,6871012,6871012,0.0,22,who is aziz hashim
1030303,6939423,6939423,0.0,23,who is aziz hashim
1030303,5681383,5681383,0.0,24,who is aziz hashim
1030303,5256170,5256170,0.0,25,who is aziz hashim
1030303,5391149,5391149,0.0,26,who is aziz hashim
1030303,5285789,5285789,0.0,27,who is aziz hashim
1030303,4179453,4179453,0.0,28,who is aziz hashim
1030303,4332523,4332523,0.0,29,who is aziz hashim
1030303,4358004,4358004,0.0,30,who is aziz hashim
1030303,4488397,4488397,0.0,31,who is aziz hashim
1030303,4567726,4567726,0.0,32,who is aziz hashim
1030303,464566,464566,0.0,33,who is aziz hashim
1030303,4647608,4647608,0.0,34,who is aziz hashim
1030303,4691526,4691526,0.0,35,who is aziz hashim
1030303,4760232,4760232,0.0,36,who is aziz hashim
1030303,4814578,4814578,0.0,37,who is aziz hashim
1030303,4882562,4882562,0.0,38,who is aziz hashim
1030303,4930087,4930087,0.0,39,who is aziz hashim
