qid,docno,label,iteration
19335,1017759,0,Q0
19335,1082489,0,Q0
19335,109063,0,Q0
19335,1160863,0,Q0
19335,1160871,0,Q0
19335,1189088,0,Q0
19335,1203500,0,Q0
19335,1231806,0,Q0
19335,1231807,0,Q0
19335,1274615,0,Q0
19335,1274620,0,Q0
19335,1324075,0,Q0
19335,1509459,0,Q0
19335,1555317,0,Q0
19335,1568085,0,Q0
19335,161603,0,Q0
19335,1705525,0,Q0
19335,1720387,0,Q0
19335,1720388,0,Q0
19335,1720389,1,Q0
19335,1720393,0,Q0
19335,1720395,1,Q0
19335,1722,0,Q0
19335,1725697,0,Q0
19335,1726,0,Q0
19335,1729,2,Q0
19335,1730,0,Q0
19335,1796642,0,Q0
19335,1796647,0,Q0
19335,1825416,0,Q0
19335,1825418,0,Q0
19335,1837110,0,Q0
19335,1871222,0,Q0
19335,1908804,0,Q0
19335,1956669,0,Q0
19335,1958100,0,Q0
19335,1958102,0,Q0
19335,1958103,0,Q0
19335,1959553,0,Q0
19335,2004186,0,Q0
19335,2046505,1,Q0
19335,2071723,0,Q0
19335,2130187,0,Q0
19335,2186129,0,Q0
19335,2304004,0,Q0
19335,2304005,0,Q0
19335,2324839,0,Q0
19335,2325143,0,Q0
19335,2382766,0,Q0
19335,2394677,0,Q0
19335,256744,0,Q0
19335,256746,0,Q0
19335,256750,0,Q0
19335,2594897,0,Q0
19335,2604487,0,Q0
19335,2725017,0,Q0
19335,2874503,0,Q0
19335,2943092,0,Q0
19335,2978577,0,Q0
19335,3045565,1,Q0
19335,3045567,1,Q0
19335,3137952,0,Q0
19335,3175481,3,Q0
19335,3175483,0,Q0
19335,3175484,3,Q0
19335,3175485,0,Q0
19335,3212083,0,Q0
19335,3260688,0,Q0
19335,3358752,0,Q0
19335,342431,0,Q0
19335,342432,0,Q0
19335,3424644,0,Q0
19335,3445057,0,Q0
19335,3489287,0,Q0
19335,3497213,0,Q0
19335,3539483,0,Q0
19335,3559596,0,Q0
19335,3637071,0,Q0
19335,3683653,0,Q0
19335,3833966,0,Q0
19335,3959463,0,Q0
19335,4050974,0,Q0
19335,429846,0,Q0
19335,429849,0,Q0
19335,429852,0,Q0
19335,4379804,0,Q0
19335,4480942,0,Q0
19335,4510384,0,Q0
19335,4540809,0,Q0
19335,4686524,0,Q0
19335,4692187,0,Q0
19335,492088,0,Q0
19335,4974433,0,Q0
19335,5078863,0,Q0
19335,5078867,0,Q0
19335,5231750,0,Q0
19335,527689,0,Q0
19335,527690,1,Q0
19335,527692,1,Q0
19335,527695,0,Q0
19335,527697,1,Q0
19335,527698,0,Q0
19335,5298801,0,Q0
19335,5398329,0,Q0
19335,5454280,0,Q0
19335,5508122,0,Q0
19335,5652225,0,Q0
19335,5652228,0,Q0
19335,5711217,0,Q0
19335,5732405,0,Q0
19335,584350,0,Q0
19335,5870000,0,Q0
19335,5932277,0,Q0
19335,6177788,0,Q0
19335,6210055,0,Q0
19335,6306220,0,Q0
19335,6306222,0,Q0
19335,6452942,0,Q0
19335,6452949,1,Q0
19335,6582809,0,Q0
19335,6683523,0,Q0
19335,6751546,0,Q0
19335,6773977,0,Q0
19335,6783161,0,Q0
19335,6867870,0,Q0
